#"+EI TIC MRM (** -> **) 20230518 Sample data MRM.d "		
#Point	X(Minutes)	Y(Counts)
968	10.619	128.284561157227
969	10.624	117.672622680664
970	10.629	115.378425598145
971	10.635	118.989448547363
972	10.64	125.494506835938
973	10.645	134.688781738281
974	10.65	146.450241088867
975	10.655	157.029724121094
976	10.66	161.960861206055
977	10.665	161.099624633789
978	10.67	158.364273071289
979	10.675	158.040557861328
980	10.68	164.700302124023
981	10.685	190.434860229492
982	10.69	269.917572021484
983	10.695	475.770904541016
984	10.7	905.9755859375
985	10.705	1618.39184570313
986	10.71	2543.51831054688
987	10.716	3455.3955078125
988	10.721	4047.6123046875
989	10.726	4096.15771484375
990	10.731	3603.41528320313
991	10.736	2784.84936523438
